SHAPE_AREA,US_ACT2021,DES_US2021,DES_ES2021,UNION,NOMBRE_PARQUE,DIRECCION,SECTOR,CATEGORIA,UBICACION,ACCESO,TIPOLOGIA
1583.54265035,EA,ESPACIO ABIERTO,PARQUE,"270",LUCIO BLANCO EN PLAN DEL RÍO,"COLONIA LUCIO BLANCO 2º SECTOR , CALLE PLAN DEL RIO",K1,LINEAL,ÁREA PÚBLICA,ABIERTO,parque de barrio
2966.06893762,EA,ESPACIO ABIERTO,PARQUE,"271",,,,,,,
474.438587209,EA,ESPACIO ABIERTO,CAMELLON,"272",,,,,,,
1483.95580097,EA,ESPACIO ABIERTO,PARQUE,"273",,,,,,,
220.121355948,EA,ESPACIO ABIERTO,PARQUE,"274",,,,,,,
1520.20736344,EA,ESPACIO ABIERTO,PARQUE,"275",,,,,,,
813.336496847,EA,ESPACIO ABIERTO,PARQUE,"276",,,,,,,
210.772932067,EA,ESPACIO ABIERTO,CAMELLON,"277",,,,,,,
2046.27559782,EA,ESPACIO ABIERTO,PARQUE,"278",ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),"SECTOR NORPONEINTE DE SAN PEDRO , CLOUTHIER / CORREGIDORA Y CROMO",K1,LINEAL,ÁREA PÚBLICA,ABIERTO,parque lineal
666.271916758,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"279",,,,,,,
136.8136955,EA,ESPACIO ABIERTO,CAMELLON,"280",,,,,,,
510.98455125,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"281",,,,,,,
996.707801806,EA,ESPACIO ABIERTO,CAMELLON,"282",,,,,,,
974.148669159,EA,ESPACIO ABIERTO,CAÑADA,"283",,,,,,,
742.442753951,EA,ESPACIO ABIERTO,CAÑADA,"284",,,,,,,
198.905854724,EA,ESPACIO ABIERTO,CAMELLON,"285",,,,,,,
94.234783635,EA,ESPACIO ABIERTO,CAMELLON,"286",,,,,,,
593.281392353,EA,ESPACIO ABIERTO,PARQUE,"287",,,,,,,
3424.10066247,EA,ESPACIO ABIERTO,PARQUE,"288",,,,,,,
4082.18394246,EA,ESPACIO ABIERTO,PARQUE,"289",,,,,,,
283.859152448,EA,ESPACIO ABIERTO,PARQUE,"290",,,,,,,
234.597391005,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"291",,,,,,,
300212.392406,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"292",,,,,,,
1232.7835111,EA,ESPACIO ABIERTO,PARQUE,"293",,,,,,,
120.00133012,DP,DERECHO DE PASO,DERECHO DE PASO,"294",,,,,,,
12.0094003327,EA,ESPACIO ABIERTO,PARQUE,"295",,,,,,,
2453.18160856,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"296",,,,,,,
1132.73860046,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"297",,,,,,,
2790.44629029,EA,ESPACIO ABIERTO,PARQUE,"298",PARQUE SEDESOL (CAÑADA ),"COLONIA VILLAS DEL OBISPO , ALEJANDRO VI Y EULALIO GUZMAN",K1,PRINCIPAL,ÁREA PÚBLICA,ABIERTO,parque urbano
24.6266422133,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"299",,,,,,,
1007.18672903,EA,ESPACIO ABIERTO,PARQUE,"300",,,,,,,
119.999166055,DP,DERECHO DE PASO,DERECHO DE PASO,"301",,,,,,,
60.2426476671,S,SERVICIOS,CASETA,"302",,,,,,,
2064.70714055,EA,ESPACIO ABIERTO,PARQUE,"303",,,,,,,
38.8655661567,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"304",,,,,,,
5049.82312079,EA,ESPACIO ABIERTO,PARQUE,"305",,,,,,,
